project_name,project_desc,offer_desc
tutor arm,i want my money back,Ashley Rose
tutor company,,Stephanie Baker
joki method,Received Error Code 22 on EAC Startup.Can no longer enjoy any servers/game in general.No one has any guides or fixes posted on the interwebs as well.10/10 game is unplayable now.,Ruben Ramirez
cari whatever,,Maria Patterson
cari air,,Walter Robinson
joki write,One of the best games I've played in my life.,Kathleen Morris
joki hair,,Kim Booth
cari on,,Donald Oconnell
joki north,,Lisa Fisher
tutor ability,,Jeffery Smith
joki imagine,,Lisa Luna
cari simply,Better than H1Z1,Tracy Hendricks
cari play,,Dave Maldonado
tutor five,Considering it's only an alpha this game is great fun and you can play for hours. Can't wait to see it evolve and get even better!,Jill Walker
joki allow,,Timothy Carpenter
joki without,IVE PLAYED 200 HRS AT LEAST ITS A GOOD GAME BUT I CANT GET INTO THE GAME ANYMORE PSYONIX FIX IT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,John Gonzales
tutor compare,,Ronald Higgins
joki human,,Carol Evans
joki rather,Game 5/5 Playing experience 2/5While the game itself is excellent in its simplicity (a bunch of people scavenging for weapons and going at it with the last one(s) remaining the winner) it would be even better if it actually worked relatively well. Small bugs that make you run while blinking back a couple of paces now and again are annoying but now not even that incomplete gaming experience is availabe as servers are offline.In short the game itself is excellent (at least during the early access phase it was). It does not run smoothly though and we probably have millions of patches (as usual) to look forward to... Yay...Anyone interested in buying this game would probably do well to wait a few months as the game is nearly unplayable at times at the moment. When it IS playable however it is one of the most exciting and addictive games out there. Regardless of whether you like 1st person shooters or not.I recommend this game to everyone... ...when it's finally ready in a few months.,Christopher Duran
tutor inside,,Joel Williams
joki effort,,Brandon Hall
cari president,,Heidi Chen
joki among,Great little game A friend got it for me as a gift I am now hooked on it This is the only game that I can say When you get killed and looted Its well worth it Thanks for the Free XP Lads! This game has some pesky idiots about but you can just go and destroy all their hard work So all in all it's Good.9/10 Will be killed againUpdate The game is toxic as ever but is still worth getting I would strongly suggest playing with friends and not solo the devs continue to update the game and add new features it just never gets old.The game systems have changed around but now the XP system has been replaced its still great.,Anna Lowery
tutor them,Terribly unrealistic shooting mechanics. You can unload an entire clip of rifle ammo into someone without even downing them. It's laughable they want this to be an eSport when the game is in this state.,Ryan Richardson
cari these,,Stacey Williamson
tutor between,,Billy Anderson
joki administration,Very fun and tense game to play with friends,Angela Roy
joki media,,Veronica Castro
cari road,,Paula Noble
joki health,"This game is the epitome of Early Access games. Pay 30 dollars get crap servers crap balancing and even crap rendering. It's such a crap bargain! It's amazing that it's sold as well as it has and has the hype it does. It's the kind of game that just screams ""I'll never be a final release!"" They'll try polishing it up over about 2 years but the final release will never come if it does it will still be lackluster compared to any real developer created FPS game. That being said if it was around 15 dollars it would be worth the purchase just to see what facing 100 players crapping around one map feels like. It was hard the first 10 hours getting used to it kind of fun for about 20 hours and then when you realize how horribly balanced it is you just start to spend more time playing other games because this one pisses you off. I will say that the only fun part is the first few times you get to the last 10 or so people because you get that adrenaline rush from being so close to the top and the tension is real. Overall I'd rate it 6/10. It has a lot of room for improvement and hell if they actually finished the game to the extent 2017 games SHOULD be made then it will be something to look twice at. Until then Buyer Beware!",Felicia Webster
cari that,Çok fazla hileci olmaya başladı önlem de almıyorlar.,Howard Mason
cari available,,Jennifer Nelson
tutor only,Most fun I've had playing a game in a while. Grinning ear to ear the whole time.,Michael Atkins
joki prepare,this game is actually terribleh1z1 is free to play if you want to play a hacker ridden game with sweaties just go there lmao,Jeffrey Huang
cari girl,Other negative reviews summarize the whole thing perfectly. Do not buy this game unless you're planning to instantly refund it or you'll basically be forced to play it until you get enough crates to make back the money you spent buying this excuse for a game.,Tracey Reyes
joki page,,Alexander Cook
tutor answer,,Vickie Richardson
tutor once,"I bought this game on PC hyped to get to finally play the years of work on Xbox 360 and Xbox One I put in for my character on PC and they decided to claim my 25 million of real money I spent months working for as ""modded money"". Then after I recieved unwanted modded money after that recent procceded to reset my character that I spent 4 years building up since GTA Online first launched and ban me for a month. I would not reccomend buying this game for GTA Online or Singleplayer GTA V is dying and stuff like this that happened to me is just making more people leave the game and the singleplayer is not worth it they wanted to focus so much on GTA Online that they cancelled all the future DLCs for Singleplayer. I loved this game before all of this happened that I did not deserve and would not reccomend playing it unless you got it for free.",Brittany Alvarez
tutor song,Хорошая игра по скидке берите!!!,Victoria Cowan
tutor event,,Jessica Morgan
cari table,suspended in the first 57 mintues great,Scott Armstrong
joki least,good game and i recommand it ! that was..... 2 yars ago )) ... now... online .... jesus you cannot enjoy it... in 1 or 2 hours some modder gonna kill you.. you cargo ...and make you lose a lot of your work... not Worth it... NEVER AGAIN gonna buy ROCKSTAR !!!! no mather what game they gonna make... just by principle i will not buy any nomather what you telling me you make MILLIONS of dollars with this game.. but you are not willing to invest some money in it's security ? it's a joke,Juan Allen
joki wait,,Elizabeth Phillips
cari thought,垃圾游戏无语了 无缘无故封我号 去你妈的 你会和h1Z1一样凉,Christine Shannon
joki maintain,Rockstar you need to control the modders and hackers because they're just ruining the game for everyone else. Second If I buy a upgrade and remove it. I should get a refund and not have to rebuy the stupid upgrade I already paid $250 000 for. Your in game items are over priced as and the missions dont pay well enough to afford anything. Between the game being $60 and then shark cards this game is ruined. You better not up red dead redemption like this or I'm not gonna buy another game from you guys because it's just toxic to own a game from your company. Fix your hacking protection.,Kayla Noble
cari professional,,Vanessa Vargas
joki need,,John Bradford
tutor possible,,Michael Williams
tutor coach,If you really like it when your game crashes suddenly gameplay is choppy and you die constantly this might be the game for you. You'll smash your head against the wall and tell yourself you'll never play again because why or more importantly how could a game cause you this much frustration.Unfortunately though you'll click Play... again and again until you've wasted hundreds or more likely thousands of hours.,Christopher Taylor
cari determine,,Rachel Taylor
tutor current,Love hate relationship.,Angela Mckenzie
cari itself,,Sheila Wise
joki add,,Margaret Rodriguez
tutor travel,,Joshua Sanchez
cari after,,Matthew Holloway
joki case,,Kimberly Williams
joki magazine,,Nicole Howard
tutor help,Better than FARTNITE,Devin Smith II
cari natural,,Carol Sanchez
tutor world,full of hackers,Jordan Soto
cari then,So good,James Luna
cari usually,so many cheater in online game immortal and invisible man so I really mad about this..so if u (GTA 5) wanted life longer please fix this bugs....!!!!!!!!and I cannot play with my friend in the online game when I start the mission at the club my friend was left always happen.and I get boring about this..!!,Michael Russell
cari response,,Robert Gutierrez
